Date,Close,Volume
3/8/17,137.720001,9963600
3/7/17,137.300003,13233100
3/6/17,137.419998,12550100
3/3/17,137.169998,11130300
3/2/17,136.759995,12270200
3/1/17,137.419998,16211900
2/28/17,135.539993,16028700
2/27/17,136.410004,14286000
2/24/17,135.440002,12589600
2/23/17,135.360001,18400800
2/22/17,136.119995,27312900
2/21/17,133.720001,14673300
2/17/17,133.529999,12249900
2/16/17,133.839996,12809800
2/15/17,133.440002,13144500
2/14/17,133.850006,14340100
2/13/17,134.050003,13503300
2/10/17,134.190002,14557400
2/9/17,134.139999,16441600
2/8/17,134.199997,22329500
2/7/17,131.839996,14563800
2/6/17,132.059998,16911200
2/3/17,130.979996,24325000
2/2/17,130.839996,54179400
2/1/17,133.229996,42482700
1/31/17,130.320007,19444000
1/30/17,130.979996,18891400
1/27/17,132.179993,19493900
1/26/17,132.779999,19818100
1/25/17,131.479996,18731300
1/24/17,129.369995,15130100
1/23/17,128.929993,16514200
1/20/17,127.040001,18798000
1/19/17,127.550003,12157100
1/18/17,127.919998,13069000
1/17/17,127.870003,15228000
1/13/17,128.339996,24838700
1/12/17,126.620003,18561300
1/11/17,126.089996,18298500
1/10/17,124.349998,17247300
1/9/17,124.900002,22861600
1/6/17,123.410004,28504400
1/5/17,120.669998,19443100
1/4/17,118.690002,19549800
1/3/17,116.860001,20602600
12/30/16,115.050003,18600100
12/29/16,116.349998,9921400
12/28/16,116.919998,11980200
12/27/16,118.010002,12027700
12/23/16,117.269997,10877300
12/22/16,117.400002,16222400
12/21/16,119.040001,10735800
12/20/16,119.089996,13528100
12/19/16,119.239998,15841700
12/16/16,119.870003,25174600
12/15/16,120.57,20102900
12/14/16,120.209999,25667800
12/13/16,120.309998,29558100
12/12/16,117.769997,17769700
12/9/16,119.68,17436000
12/8/16,118.910004,22404200
12/7/16,117.949997,21855600
12/6/16,117.309998,19048500
12/5/16,117.43,20095200
12/2/16,115.400002,25015200
12/1/16,115.099998,43209700
11/30/16,118.419998,30035600
11/29/16,120.870003,18846600
11/28/16,120.410004,18073300
11/25/16,120.379997,8638400
11/23/16,120.839996,15592400
11/22/16,121.470001,25992700
11/21/16,121.769997,35288000
11/18/16,117.019997,22051700
11/17/16,117.790001,18556200
11/16/16,116.339996,32345400
11/15/16,117.199997,33270700
11/14/16,115.080002,51247400
11/11/16,119.019997,32804000
11/10/16,120.800003,67822800
11/9/16,123.18,31856100
11/8/16,124.220001,19367800
11/7/16,122.150002,23008900
11/4/16,120.75,30545500
11/3/16,120,63766300
11/2/16,127.169998,39640900
11/1/16,129.5,22077800
10/31/16,130.990005,15669000
10/28/16,131.289993,24545500
10/27/16,129.690002,16741400
10/26/16,131.039993,13084700
10/25/16,132.289993,13336800
10/24/16,133.279999,17470200
10/21/16,132.070007,19088800
10/20/16,130,13167500
10/19/16,130.110001,16752300
10/18/16,128.570007,13504000
10/17/16,127.540001,11351700
10/14/16,127.879997,13345300
10/13/16,127.82,17139300
10/12/16,129.050003,11073000
10/11/16,128.880005,17537900
10/10/16,130.240005,15138700
10/7/16,128.990005,12804400
10/6/16,128.740005,11682700
10/5/16,128.470001,12386800
10/4/16,128.190002,14307500
10/3/16,128.770004,13156900
9/30/16,128.270004,18402900
9/29/16,128.089996,14532200
9/28/16,129.229996,12047600
9/27/16,128.690002,15637100
9/26/16,127.309998,15064900
9/23/16,127.959999,28326300
9/22/16,130.080002,15538300
9/21/16,129.940002,14068300
9/20/16,128.639999,11083800
9/19/16,128.649994,14958800
9/16/16,129.070007,24119200
9/15/16,128.350006,15077200
9/14/16,127.769997,15691100
9/13/16,127.209999,18016200
9/12/16,128.690002,21252800
9/9/16,127.099998,27100700
9/8/16,130.270004,15676600
9/7/16,131.050003,27990800
