Date,Close,Volume
2/28/17,127.650002,4512700
2/27/17,126.989998,5184000
2/24/17,128.649994,3537200
2/23/17,128.270004,3178000
2/22/17,127.849998,3670700
2/21/17,128.039993,4495200
2/17/17,127.800003,3677400
2/16/17,126.699997,3006000
2/15/17,126.480003,2974900
2/14/17,125.809998,2663100
2/13/17,125.540001,2993800
2/10/17,125.82,3681400
2/9/17,124.480003,2493600
2/8/17,124.669998,2835200
2/7/17,124.589996,2847200
2/6/17,124.449997,2760300
2/3/17,124.239998,3183000
2/2/17,123.220001,3236600
2/1/17,122.419998,3233400
1/31/17,122.57,3733300
1/30/17,123.019997,3778000
1/27/17,122.860001,3592700
1/26/17,121.879997,2497300
1/25/17,121.790001,3968300
1/24/17,121.050003,3495200
1/23/17,121.379997,7022600
1/20/17,122.260002,4887100
1/19/17,122.18,3155200
1/18/17,122.709999,3395000
1/17/17,122.75,4077600
1/13/17,121.5,2877400
1/12/17,122.099998,3480700
1/11/17,120.879997,3565200
1/10/17,120.25,3108400
1/9/17,120.43,2976700
1/6/17,120.760002,4089200
1/5/17,119.699997,4261100
1/4/17,119.480003,3780800
1/3/17,119.620003,5123800
12/30/16,121.720001,3574600
12/29/16,122.790001,1943300
12/28/16,122.68,1980200
12/27/16,123.07,1919300
12/23/16,123.139999,2164100
12/22/16,123.720001,3037100
12/21/16,123.18,2762800
12/20/16,123.330002,2768800
12/19/16,122.989998,3545500
12/16/16,123.239998,10793800
12/15/16,122.360001,4402800
12/14/16,122.839996,4967400
12/13/16,122.68,4308000
12/12/16,121.739998,4172000
12/9/16,121.260002,2623700
12/8/16,120.449997,3255100
12/7/16,119.919998,4059900
12/6/16,119.25,3368000
12/5/16,119.290001,5191900
12/2/16,118.239998,3348700
12/1/16,118.470001,4445000
11/30/16,119.269997,5696100
11/29/16,120.68,6370900
11/28/16,121.82,5931700
11/25/16,120.660004,1709100
11/23/16,120.139999,2860200
11/22/16,119.690002,3699100
11/21/16,119.5,3603300
11/18/16,120,3655400
11/17/16,119.449997,2836600
11/16/16,119.209999,5371100
11/15/16,118.32,4447900
11/14/16,117.860001,7093200
11/11/16,114.220001,4331200
11/10/16,114.510002,4437700
11/9/16,114.980003,5099500
11/8/16,114.110001,3300200
11/7/16,112.82,3842400
11/4/16,111.040001,3457400
11/3/16,111.720001,3890700
11/2/16,112.389999,3512500
11/1/16,112.25,3935600
10/31/16,112.57,4181600
10/28/16,112.099998,3304700
10/27/16,112.080002,2960700
10/26/16,112.110001,3763100
10/25/16,112.720001,4879000
10/24/16,113.57,6173500
10/21/16,113.93,10108000
10/20/16,110.57,7250700
10/19/16,111.260002,6433400
10/18/16,111.25,6198400
10/17/16,112.410004,5655700
10/14/16,114.089996,5312500
10/13/16,115.410004,4464700
10/12/16,114.709999,3340200
10/11/16,113.68,3943300
10/10/16,114.709999,3290300
10/7/16,113.449997,4153100
10/6/16,113.919998,3900000
10/5/16,113.410004,3720300
10/4/16,113.5,4742900
10/3/16,114.639999,3085800
9/30/16,115.360001,4188700
9/29/16,114.790001,4924400
9/28/16,115.18,5638900
9/27/16,116.879997,3745400
9/26/16,116.529999,3022400
9/23/16,117.169998,2776000
9/22/16,117.360001,3808800
9/21/16,116.93,4528900
9/20/16,116.449997,3841800
9/19/16,115.209999,3741500
9/16/16,115.279999,9500500
9/15/16,116.139999,3671200
9/14/16,115.18,4530700
9/13/16,114.730003,4162200
9/12/16,115.949997,5014000
9/9/16,114.580002,4961100
9/8/16,116.169998,3085600
9/7/16,116.919998,2647700
9/6/16,117.25,6337900
9/2/16,115.830002,3410100
9/1/16,115.400002,3966600
8/31/16,115.660004,5394700
8/30/16,115.360001,5085300
8/29/16,115.410004,4983000
8/26/16,114.440002,5294500
8/25/16,115.43,6694100
8/24/16,114.870003,4135400
8/23/16,115.190002,4305400
8/22/16,115.419998,4484700
8/19/16,115.010002,7065700
8/18/16,117.129997,3710500
8/17/16,117.099998,5184900
8/16/16,117.940002,3333900
8/15/16,118.519997,3391600
8/12/16,119.519997,3015700
8/11/16,119.379997,3490200
8/10/16,118.800003,2941700
8/9/16,118.309998,3491700
8/8/16,118.290001,3589300
8/5/16,119.209999,3883800
8/4/16,118.300003,4313200
8/3/16,117.519997,4120000
8/2/16,117.699997,4504200
8/1/16,118.010002,4208800
7/29/16,117.650002,7460900
7/28/16,119.419998,6239400
7/27/16,119.480003,9939200
7/26/16,121.709999,14563700
7/25/16,127.400002,6210100
7/22/16,128.259995,4304200
7/21/16,127.18,3572100
